Z200;AFGHANISTAN
Z201;ARABIA MERIDIONALE FEDERAZIONE
Z202;ARABIA MERIDIONALE PROTETTORATO
Z203;ARABIA SAUDITA
Z252;ARMENIA
Z253;AZERBAIGIAN
Z204;BAHREIN
Z249;BANGLADESH
Z205;BHUTAN
Z207;BRUNEI
Z208;CAMBOGIA
Z211;CIPRO
Z212;COCOS (ISOLE)
Z215;EMIRATI ARABI UNITI
Z216;FILIPPINE
Z218;GAZA (TERRITORIO DI)
Z254;GEORGIA
Z260;GERUSALEMME
Z219;GIAPPONE
Z220;GIORDANIA
Z221;HONG KONG
Z222;INDIA
Z223;INDONESIA
Z224;IRAN
Z225;IRAQ
Z226;ISRAELE
Z255;KAZAKHSTAN
Z256;KIRGHIZISTAN
Z227;KUWAIT
Z228;LAOS
Z229;LIBANO
Z231;MACAO
Z230;MALAYSIA
Z247;MALAYSIA
Z232;MALDIVE
Z233;MONGOLIA
Z206;MYANMAR
Z234;NEPAL
Z235;OMAN
Z236;PAKISTAN
Z237;QATAR
Z213;REPUBBLICA DI COREA
Z210;REPUBBLICA POPOLARE CINESE
Z214;REPUBBLICA POPOLARE DEMOCRATICA DI COREA
Z238;RYUKYU (ISOLE)
Z239;SIKKIM
Z248;SINGAPORE
Z240;SIRIA
Z209;SRI LANKA
Z257;TAGIKISTAN
Z217;TAIWAN
Z161;TERRITORI DELL'AUTONOMIA PALESTINESE
Z241;THAILANDIA
Z242;TIMOR ORIENTALE
Z243;TURCHIA
Z258;TURKMENISTAN
Z259;UZBEKISTAN
Z251;VIETNAM
Z245;VIETNAM DEL NORD
Z244;VIETNAM DEL SUD
Z246;YEMEN
Z250;YEMEN REPUBBLICA DEMOCRATICA POPOLARE
Z301;ALGERIA
Z302;ANGOLA
Z303;BASUTOLAND-SUD AFRICA BRITANNICO
Z304;BECIUANIA-SUD AFRICA BRITANNICO
Z314;BENIN
Z364;BOPHUTHATSWANA
Z358;BOTSWANA
Z354;BURKINA FASO
Z305;BURUNDI
Z306;CAMERUN
Z307;CAPO VERDE
Z309;CIAD
Z367;CISKEI
Z310;COMORE
Z311;CONGO
Z370;CONGO BELGA
Z313;COSTA D'AVORIO
Z336;EGITTO
Z368;ERITREA
Z349;ESWATINI
Z315;ETIOPIA
Z316;GABON
Z317;GAMBIA
Z318;GHANA
Z361;GIBUTI
Z319;GUINEA
Z320;GUINEA BISSAU
Z321;GUINEA EQUATORIALE
Z323;IFNI
Z322;KENYA
Z359;LESOTHO
Z325;LIBERIA
Z326;LIBIA
Z327;MADAGASCAR
Z328;MALAWI
Z329;MALI
Z330;MAROCCO
Z331;MAURITANIA
Z332;MAURITIUS
Z360;MAYOTTE
Z333;MOZAMBICO
Z300;NAMIBIA
Z334;NIGER
Z335;NIGERIA
Z369;NYASALAND
Z308;REPUBBLICA CENTRAFRICANA
Z312;REPUBBLICA DEMOCRATICA DEL CONGO
Z324;RIUNIONE
Z338;RUANDA
Z362;SAHARA MERIDIONALE
Z363;SAHARA SETTENTRIONALE
Z339;SAHARA SPAGNOLO
Z340;SANT'ELENA
Z341;SAO TOME' E PRINCIPE
Z343;SENEGAL
Z342;SEYCHELLES
Z344;SIERRA LEONE
Z345;SOMALIA
Z347;SUD AFRICA
Z907;SUD SUDAN
Z348;SUDAN
Z350;TANGANICA
Z357;TANZANIA
Z346;TERRITORIO FRANCESE DEGLI AFAR E DEGLI ISSA
Z351;TOGO
Z365;TRANSKEI
Z352;TUNISIA
Z353;UGANDA
Z366;VENDA
Z355;ZAMBIA
Z356;ZANZIBAR
Z337;ZIMBABWE
Z529;ANGUILLA
Z532;ANTIGUA E BARBUDA
Z500;ANTILLE BRITANNICHE
Z523;ANTILLE BRITANNICHE
Z521;ANTILLE BRITANNICHE
Z501;ANTILLE OLANDESI
Z502;BAHAMAS
Z522;BARBADOS
Z512;BELIZE
Z503;COSTA RICA
Z504;CUBA
Z526;DOMINICA
Z506;EL SALVADOR
Z507;GIAMAICA
Z524;GRENADA
Z508;GUADALUPA
Z509;GUATEMALA
Z510;HAITI
Z511;HONDURAS
Z530;ISOLE CAYMAN
Z519;ISOLE TURKS E CAICOS
Z525;ISOLE VERGINI BRITANNICHE
Z513;MARTINICA
Z514;MESSICO
Z531;MONTSERRAT
Z515;NICARAGUA
Z516;PANAMA
Z517;PANAMA ZONA DEL CANALE
Z518;PUERTO RICO
Z505;REPUBBLICA DOMINICANA
Z533;SAINT KITTS E NEVIS
